Name, Group, MainNote1, MainNote2, MainNote3, Season, Time, Longevity, Sillage, Rate, Count
Blu Mediterraneo Quercia Marina Acqua di Parma for women and men,Aromatic,Seaweed,Mint,Carnation,Spring/Summer,Day,moderate,moderate,4.20,13
Cedro di Taormina Acqua di Parma for women and men,Woody Aromatic,Citruses,Virginian Cedar,Petitgrain,Spring/Summer,Day,moderate,moderate,4.34,250
Chinotto di Liguria Acqua di Parma for women and men,Chypre Floral,Chinotto,Mandarin Orange,Jasmine,Spring/Summer,Day,moderate,moderate,3.58,67
Colonia Ambra Acqua di Parma for men,Oriental,Ambergris,Musk,Sea Notes,All Season,Night,moderate,moderate,4.08,248
Colonia Ebano Acqua di Parma for men,Woody,Ebony,resins,Honey,All Season,Day,moderate,heavy,3.74,67
Colonia Intensa Oud Eau de Cologne Concentree Acqua di Parma for men,Woody,Agarwood (Oud),Leather,Citruses,All Season,All Time,long lasting,heavy,4.29,678
Colonia Leather Eau de Cologne Concentrée Acqua di Parma for men,Citrus Aromatic,Leather,Guaiac Wood,Brazilian Orange,All Season,All Time,long lasting,heavy,4.48,630
Colonia Mirra Acqua di Parma for men,Oriental Woody,Myrhh,Amber,Nutmeg,Fall/Winter,All Time,long lasting,moderate,4.18,87
Colonia Oud Acqua di Parma for men,Oriental Woody,Leather,Agarwood (Oud),Calabrian bergamot,All Season,All Time,long lasting,heavy,4.29,239
Colonia Quercia Acqua di Parma for men,Oriental Spicy,Bergamot,Oakmoss,Geranium,All Season,Day,long lasting,moderate,3.76,171
Colonia Sandalo Concentrée  Acqua di Parma for men,Woody Aromatic,Sandalwood,Cardamom,Orange,All Season,Day,moderate,heavy,4.19,46
Colonia Vaniglia Acqua di Parma for men,Oriental Floral,Vanilla,Musk,Jasmine Sambac,Fall/Winter,All Time,moderate,heavy,4.18,15
Note di Colonia I Acqua di Parma for women and men,Chypre Floral,Bergamot,Violet,Neroli,All Season,Day,moderate,moderate,4.45,24
Note di Colonia II Acqua di Parma for women and men,Woody Aromatic,Cardamom,Grapefruit,Guaiac Wood,All Season,Day,long lasting,moderate,4.41,29
Note di Colonia III Acqua di Parma for women and men,Oriental,Myrhh,Olibanum,Labdanum,Fall/Winter,Night,very long lasting,heavy,4.73,30
Note di Colonia IV Acqua di Parma for women and men,Oriental Floral,Orange Blossom,Opoponax,Labdanum,Fall/Winter,All Time,long lasting,heavy,3.54,17
Agent Provocateur Agent Provocateur for women,Floral Woody Musk,Moroccan Rose,Musk,Indian Saffron,Fall/Winter,Night,long lasting,heavy,3.43,2178
Agent Provocateur Eau Emotionnelle Agent Provocateur for women,Floral Woody Musk,Musk,Coriander,Magnolia,All Season,Day,moderate,moderate,3.38,426
Agent Provocateur Lace Agent Provocateur for women,Floral Woody Musk,Wild Orchid,Amberwood,Orange Blossom,All Season,All Time,moderate,heavy,3.76,27
Agent Provocateur Maitresse Agent Provocateur for women,Oriental Floral,White Suede,Musk,Ylang-Ylang,Fall/Winter,Night,moderate,moderate,3.79,1224
Agent Provocateur Ménage à Trois Agent Provocateur for women,Floral Woody Musk,Moroccan Rose,Musk,Saffron,Fall/Winter,Night,moderate,heavy,4.38,24
Blue Silk Agent Provocateur for women,Oriental Floral,Tonka Bean,Mandarin Orange,Rose,All Season,All Time,moderate,moderate,2.50,4
Diamond Dust Edition Agent Provocateur for women,Floral Woody Musk,Moroccan Rose,Indian Saffron,Musk,Fall/Winter,Night,long lasting,heavy,4.22,104
Eau Provocateur Agent Provocateur for women,Floral,Myrhh,Red Berries,African Orange flower,All Season,All Time,long lasting,heavy,3.55,92
L'Agent Agent Provocateur for women,Oriental Floral,Incense,Myrhh,Patchouli,Fall/Winter,Night,long lasting,heavy,3.93,1147
L’Agent Eau Provocateur Agent Provocateur for women,Oriental Floral,Musk,Magnolia,Jasmine,Spring/Summer,Day,moderate,moderate,3.59,132
Maitresse Eau Provocateur Agent Provocateur for women,Floral,Granny Smith apple,iris,Mimosa,All Season,Day,moderate,moderate,3.76,92
Petale Noir Agent Provocateur for women,Oriental Floral,Magnolia,Leather,Hyacinth,All Season,All Time,long lasting,heavy,3.63,522
Strip Agent Provocateur for women,Floral Woody Musk,Amber,Geranium,Ylang-Ylang,Fall/Winter,Night,long lasting,moderate,3.82,372
Strip 2008 Agent Provocateur for women,Floral Woody Musk,Amber,Ylang-Ylang,Patchouli,All Season,Day,long lasting,heavy,4.64,27
Aphrodisiaque Agent Provocateur for women,Floral Fruity,Black locust  Honey,resins,Vanilla orchid,Fall/Winter,Night,moderate,heavy,2.36,21
Pure Aphrodisiaque Agent Provocateur for women,Floral Fruity,Pear,Orchid,Tuberose,All Season,All Time,moderate,heavy,3.58,47
Fatale Agent Provocateur for women,Oriental Floral,Chocolate,Vanilla orchid,Black Currant,Fall/Winter,All Time,moderate,heavy,3.65,424
Fatale Intense  Agent Provocateur for women,Oriental Floral,Licorice,Chili Pepper,Dewberry,Fall/Winter,Night,moderate,moderate,3.94,301
Fatale Pink Agent Provocateur for women,Oriental Floral,Yuzu,Pink Lotus,Whipped cream,Spring/Summer,Day,moderate,moderate,3.67,151
Al Fakhamah Al-Rehab for women,Floral Woody Musk,Sandalwood,Musk,Floral Notes,All Season,Night,very long lasting,heavy,4.00,4
Al Hanouf Al-Rehab for women,Floral Woody Musk,Taif Rose,Amber,Agarwood (Oud),Spring/Summer,Day,long lasting,heavy,3.97,35
Al Rehab Tower Al-Rehab for women and men,Oriental Floral,Rose,Floral Notes,Spicy Notes,All Season,All Time,very long lasting,heavy,5.00,2
Al Sharquiah Al-Rehab for women and men,Oriental Vanilla,Agarwood (Oud),Dates,Incense,Fall/Winter,All Time,long lasting,heavy,3.91,212
Alrehab Grapes Al-Rehab for women and men,Oriental,Musk,Mint,Grapes,Spring/Summer,Day,moderate,heavy,2.20,6
Anfas Al Oud Al-Rehab for women and men,Oriental Woody,Agarwood (Oud),Saffron,Nutmeg,Summer,Night,moderate,enormous,4.33,4
Arabisque Al-Rehab for women and men,Oriental,Agarwood (Oud),White Amber,Lime,All Season,All Time,long lasting,heavy,3.40,6
Arooq Al Oud Al-Rehab for women and men,Oriental,Agarwood (Oud),Sandalwood,Amber,All Season,Night,very long lasting,heavy,4.57,18
Aseel Al-Rehab for women,Oriental Vanilla,Agarwood (Oud),Red Rose,Saffron,All Season,All Time,long lasting,heavy,3.77,126
Avenue Al-Rehab for women and men,,Lemon,Patchouli,Musk,Spring/Summer,All Time,long lasting,heavy,3.93,62
Bahrain Pearl Al-Rehab for women,Floral,White Musk,Lemongrass,Jasmine,All Season,Day,long lasting,heavy,3.90,22
Balkis Al-Rehab for women and men,Oriental Floral,Floral Notes,Powdery Notes,Agarwood (Oud),Fall/Winter,All Time,long lasting,heavy,3.98,197
Distance Al-Rehab for women,Floral Fruity,Grapes,Floral Notes,White Musk,Summer,Day,moderate,heavy,3.67,10
Ebdaa Al Rehab Al-Rehab for women and men,Oriental,Floral Notes,Oriental notes,Woody Notes,Winter,Night,very long lasting,enormous,1.00,2
Hams Al Warood Al-Rehab for women,Oriental Floral,Hyacinth,Indian Mimosa,Musk,Spring,All Time,long lasting,heavy,5.00,7
Lailat Elomer  Al-Rehab for women,Oriental Floral,Agarwood (Oud),Rose,Incense,All Season,All Time,very long lasting,heavy,4.42,20
Luzane Al-Rehab for women,Floral Green,Lemongrass,Watery Notes,Rose,Spring/Summer,Day,moderate,moderate,3.26,25
Maram Al-Rehab for women,Oriental Floral,Cardamom,Sandalwood,Tuberose,Spring/Summer,Day,very long lasting,enormous,3.60,5
Mubakhar Al-Rehab for women,Floral Woody Musk,Taif Rose,Incense,Amber,Spring/Summer,Day,long lasting,enormous,3.86,14
Musk Al Aroosah Al-Rehab for women,,Powdery Notes,Vanilla,White Musk,All Season,Day,long lasting,heavy,4.43,8
Musk Al Sheikh Al-Rehab for women and men,,White Musk,Powdery Notes,Floral Notes,All Season,Day,long lasting,heavy,3.75,5
Nadine Al-Rehab for women,Oriental Floral,Taif Rose,Citruses,Sandalwood,Spring/Summer,Day,moderate,heavy,4.17,33
Noria Al-Rehab for women and men,Oriental Vanilla,Almond,Sandalwood,Coconut,All Season,Day,long lasting,heavy,3.15,24
Of Course Al-Rehab for men,Floral Woody Musk,Rose,Musk,Amber,Spring/Summer,All Time,moderate,heavy,3.75,14
Oud Al Rehab Al-Rehab for women and men,Oriental,Agarwood (Oud),Musk,Spicy Notes,Fall/Winter,Night,long lasting,heavy,4.25,14
Pearls Attar Al-Rehab for women,Oriental Vanilla,Vanilla,Sandalwood,White Flowers,All Season,Day,long lasting,heavy,4.82,17
Rabea Elomer Al-Rehab for women and men,Oriental Floral,Freesia,Mimosa,Violet,Summer,Day,very long lasting,heavy,4.00,4
Rawan Al-Rehab for women and men,Floral Woody Musk,Vanilla,Almond,Passionfruit,Fall/Winter,All Time,moderate,heavy,3.81,37
Rihanat Al-Rehab for women and men,Floral Fruity,Pineapple,Orange,Mandarin Orange,All Season,Day,long lasting,heavy,3.00,6
Saat Safa Al-Rehab for women and men,Oriental Woody,Agarwood (Oud),Moss,Rose,Fall/Winter,Night,long lasting,heavy,3.74,198
Sabaya Al-Rehab for women,Floral,Citruses,Rose,Green Notes,Spring/Summer,Day,long lasting,moderate,4.28,69
Sagaya Allail Al-Rehab for women and men,Oriental,Floral Notes,Woody Notes,Oriental notes,Winter,Night,long lasting,enormous,4.00,2
Shaikhah Al-Rehab for women and men,Oriental Floral,Agarwood (Oud),resins,Rose,Fall/Winter,Night,long lasting,heavy,3.83,112
Shams Al Rehab Al-Rehab for women and men,Oriental,Oriental notes,Woody Notes,Floral Notes,Fall,All Time,moderate,moderate,4.33,3
Sultana Al-Rehab for women,Oriental Floral,Agarwood (Oud),Taif Rose,Amber,Fall/Winter,Night,moderate,heavy,4.15,34
Tajal Aroosah Al-Rehab for women,Oriental Floral,Melon,Raspberry,Vanilla,Spring/Summer,Day,very long lasting,moderate,3.50,6
Zahrat Hawai Al-Rehab for women and men,Floral Fruity,Pineapple,Piña Colada,Citruses,Spring/Summer,Day,moderate,moderate,3.88,68
Africana Al-Rehab for women and men,,Green Mandarin,Pink Pepper,iris,All Season,Day,long lasting,heavy,3.23,61
Al Fares Al-Rehab for men,Woody Aromatic,Herbal Notes,Spicy Notes,Musk,Spring/Summer,Day,long lasting,heavy,3.91,72
Al Nourus Al-Rehab for women,Floral Fruity,Mango,Peach,Melon,Spring/Summer,Day,moderate,heavy,3.74,41
Al Shariga Al-Rehab for women and men,Oriental Woody,Amber,Agarwood (Oud),Pepper,All Season,All Time,moderate,heavy,2.86,8
Aroosah Al-Rehab for women and men,Woody,Chamomile,Woody Notes,Herbal Notes,All Season,Day,long lasting,heavy,3.21,53
Bakhour Al-Rehab for women and men,Oriental,Floral Notes,Fruity Notes,Amber,All Season,Day,long lasting,heavy,3.41,126
Champion Black Al-Rehab for men,Woody Floral Musk,Moss,White Musk,Patchouli,Spring/Summer,Day,long lasting,heavy,3.88,47
Cherry Flower Al-Rehab for women and men,Floral Green,Cherry Blossom,Water Lily,White Musk,Spring/Summer,Day,moderate,heavy,3.91,62
Choco Musk Al-Rehab for women and men,Oriental Vanilla,Milk Chocolate,Vanilla,White Musk,Fall/Winter,All Time,long lasting,heavy,4.25,789
Crystal Al-Rehab for women and men,,Woody Notes,Spicy Notes,Floral Notes,Fall/Winter,Night,long lasting,heavy,3.75,86
Dakar Al-Rehab for men,Woody Aromatic,Moss,Sage,Cedar,Fall/Winter,All Time,long lasting,heavy,4.05,144
Dalal Al-Rehab for women and men,,Caramel,Orange,Vanilla,All Season,Day,moderate,moderate,4.08,359
Dehn Al Oud Al-Rehab for women and men,Oriental,Agarwood (Oud),Woody Notes,Honey,Fall/Winter,Night,moderate,moderate,3.65,87
Elena Al-Rehab for women,Floral Fruity,Litchi,Peach,Floral Notes,All Season,Day,moderate,heavy,3.73,60
Fantastic Al-Rehab for women,Floral,Vanilla,Fruity Notes,Tuberose,All Season,Day,long lasting,moderate,4.09,51
Fruit Al-Rehab for women,,Banana,Pineapple,Kiwi,Spring/Summer,Day,moderate,heavy,3.63,36
Full Al-Rehab for women and men,Oriental Floral,Jasmine,Saffron,Amber,Spring/Summer,Day,moderate,heavy,4.10,234
Golden Al-Rehab for women and men,,Amber,Floral Notes,Vanilla,Fall/Winter,Night,long lasting,heavy,3.52,104
Golden Sand Al-Rehab for women and men,,Caramel,Vanilla,Amber,Fall/Winter,All Time,moderate,heavy,4.26,188
Karina Rose Al-Rehab for women and men,Oriental Floral,Rose,Saffron,Amber,All Season,Day,moderate,heavy,3.83,22
Lord Al-Rehab for men,,Patchouli,Spicy Notes,resins,All Season,All Time,long lasting,heavy,3.65,76
Lovely Al-Rehab for women and men,Floral Green,Citruses,Floral Notes,White Musk,Spring/Summer,Day,moderate,moderate,3.92,117
Mokhalat Al Rehab Al-Rehab for women and men,Oriental Floral,Floral Notes,Agarwood (Oud),Amber,All Season,All Time,long lasting,heavy,2.69,47
Mokhalat Dubai Al-Rehab for women and men,,Spicy Notes,Woody Notes,Herbal Notes,All Season,All Time,very long lasting,heavy,3.53,39
Musk Al Ghazal Al-Rehab for women and men,Oriental,Black Musk,Geranium,Ambrette (Musk Mallow),All Season,Night,long lasting,moderate,2.89,33
Nebras Al-Rehab for women and men,Floral Green,Floral Notes,Citruses,Lemon,All Season,Day,long lasting,heavy,3.86,384
Oudy Al-Rehab for women and men,Oriental Woody,Agarwood (Oud),Tobacco,White Musk,Fall/Winter,Night,moderate,heavy,4.00,60
Randa Al-Rehab for women,Oriental Floral,Amber,Rose,Jasmine,Fall/Winter,Night,long lasting,heavy,3.68,60
Rasha Al-Rehab for women,Oriental Floral,Jasmine,Amber,Rose,Fall/Winter,Night,long lasting,heavy,3.89,151
Romantic Al-Rehab for men,,Mint,Rose,Bergamot,Spring/Summer,Day,moderate,moderate,3.80,6
Soft Al-Rehab for women and men,,Caramel,Citruses,Vanilla,Fall/Winter,Day,long lasting,heavy,4.02,478
Sultan Al-Rehab for men,Woody Spicy,Juniper,Cedar,Musk,Spring/Summer,Day,long lasting,heavy,4.01,265
Sultan Al Oud Al-Rehab for women and men,Oriental,Agarwood (Oud),Woody Notes,Spicy Notes,Fall/Winter,Night,long lasting,moderate,4.30,153
Superman Al-Rehab for men,Oriental Spicy,Ginger,Black Pepper,Myrrh,Fall/Winter,All Time,long lasting,heavy,3.64,115
Susan Al-Rehab for women,Oriental Floral,Exotic floral notes,Exotic Fruits,Oriental notes,All Season,Day,moderate,heavy,4.00,99
Tooty Musk Al-Rehab for women,Floral Fruity,Raspberry,Blackberry,White Musk,Spring/Summer,Day,moderate,moderate,3.45,85
Zidan Al-Rehab for men,,Rhubarb,Mandarin Orange,Coriander,Spring/Summer,Day,long lasting,heavy,4.08,58
Classic Al-Rehab for women and men,Woody Floral Musk,Amber,Powdery Notes,Floral Notes,Spring/Summer,All Time,long lasting,heavy,3.91,68
Delightful Al-Rehab for women,Floral,Sugar,vanilla orchid,Mandarin Orange,All Season,Day,moderate,moderate,3.34,34
Diamond Al-Rehab for women and men,,Citruses,Floral Notes,Amber,All Season,Day,moderate,moderate,4.09,11
Khaliji Al-Rehab for women and men,Citrus,Lemongrass,Spicy Notes,Citruses,Spring/Summer,Day,moderate,moderate,3.86,141
Sandra Al-Rehab for women,Oriental Floral,Fruity Notes,Vanilla,Floral Notes,All Season,All Time,moderate,heavy,4.00,109
Secret Lady Al-Rehab for women,Oriental Floral,Floral Notes,Vanilla,Oriental notes,Spring/Summer,Day,long lasting,moderate,4.23,13
Secret Man Al-Rehab for men,Woody Aromatic,Green Notes,Citruses,Woody Notes,Spring/Summer,Day,long lasting,heavy,3.88,58
Silver Al-Rehab for women and men,Woody Floral Musk,Citruses,Watery Notes,Green Notes,Spring/Summer,Day,moderate,moderate,3.82,776
Afrah Amouage for women and men,Oriental Woody,Champaca,Agarwood (Oud),Amber,All Season,Day,moderate,heavy,4.63,20
Ajwad Amouage for women and men,Oriental,Taif Rose,Agarwood (Oud),Ambergris,All Season,Day,long lasting,moderate,3.50,7
Al Andalus Amouage for women,Chypre Floral,Clary Sage,Rosemary,Amalfi Lemon,Spring/Summer,Day,moderate,heavy,4.44,18
Al Mas Amouage for women and men,Oriental Fougere,Saffron,Agarwood (Oud),Rose,All Season,All Time,long lasting,heavy,4.52,35
Al Shomoukh Amouage for women,Oriental Floral,Agarwood (Oud),Taif Rose,Vetiver,Fall/Winter,Night,long lasting,heavy,4.22,20
Amber Amouage for women and men,Oriental,Ambergris,Sandalwood,Musk,All Season,All Time,very long lasting,heavy,4.44,18
Amouage Epic Man Amouage for men,Oriental Woody,Agarwood (Oud),Incense,Pink Pepper,Fall/Winter,Night,long lasting,heavy,4.13,1103
Amouage Epic Woman Amouage for women,Oriental Floral,Caraway,Rose,Incense,Fall/Winter,All Time,long lasting,heavy,4.10,837
Amouage Gold pour Femme Amouage for women,Floral Aldehyde,Rose,Civet,Lily-of-the-Valley,Fall/Winter,Night,long lasting,heavy,4.00,608
Amouage Gold pour Homme Amouage for men,Woody Floral Musk,Civet,Rose Hip,Musk,Fall/Winter,Night,long lasting,heavy,3.32,536
Amouage Homage Amouage for women and men,Oriental Floral,Taif Rose,Incense,Lemon,All Season,All Time,long lasting,heavy,4.49,167
Amouage Lyric Man Amouage for men,Oriental Spicy,Rose,Lime,Incense,All Season,All Time,long lasting,heavy,4.08,1123
Amouage Lyric Woman Amouage for women,Oriental Floral,Rose,Incense,Sandalwood,Fall/Winter,Night,long lasting,heavy,4.30,947
Arcus Amouage for men,Citrus Aromatic,Basil,Teak Wood,Lime,Spring/Summer,All Time,long lasting,heavy,3.33,31
Asrar Amouage for women and men,Oriental Spicy,Saffron,Agarwood (Oud),Sandalwood,All Season,All Time,long lasting,heavy,4.44,53
Ayoon Al Maha Amouage for women,Oriental Floral,Rose,Sandalwood,Agarwood (Oud),Fall/Winter,All Time,long lasting,heavy,4.52,31
Badr Al Badour Amouage for women and men,Oriental Woody,Agarwood (Oud),Rose,Amber,All Season,All Time,long lasting,moderate,4.41,32
Bahjah Amouage for women and men,Oriental,Lime,Woodsy Notes,oak moss,Spring/Summer,All Time,long lasting,moderate,4.24,17
Basmah Amouage for women and men,Oriental,French labdanum,Amber,Rose,All Season,Day,very long lasting,heavy,4.33,14
Beach Hut Man Amouage for men,Woody Aromatic,Mint,Ivy,Vetiver,Spring/Summer,Day,long lasting,heavy,4.11,258
Beach Hut Woman Amouage for women,Woody Aquatic,Driftwood,Patchouli,Cashmeran,All Season,Day,moderate,heavy,3.69,56
Beloved Amouage for women,Floral,Immortelle,Civet,Chamomile,Fall/Winter,All Time,long lasting,heavy,3.99,351
Beloved Man Amouage for men,Oriental Woody,elemi,Grapefruit,Cedar,All Season,Day,long lasting,heavy,4.13,373
Bracken Man Amouage for men,Aromatic Fougere,Cloves,Cypress,Patchouli,All Season,Day,long lasting,heavy,3.91,293
Bracken Woman Amouage for women,,Fern,Chamomile,Wild berries,Spring/Summer,Day,long lasting,heavy,3.48,201
Ciel Pour Femme Amouage for women,Floral,Water Lily,Cyclamen,Gardenia,Spring/Summer,Day,moderate,moderate,3.87,385
Ciel Pour Homme Amouage for men,Aromatic Spicy,Lavender,Peach,Nutmeg,Spring/Summer,Day,moderate,heavy,3.95,333
Dia pour Femme Amouage for women,Floral,Aldehydes,Peony,Turkish Rose Oil,All Season,Day,long lasting,heavy,4.15,681
Dia pour Homme Amouage for men,Woody Floral Musk,Peony,Vetiver,Plum,All Season,Day,moderate,moderate,4.23,583
Eau d'Amouage Amouage for women,Oriental Floral,Mango,Peony,Vetiver,All Season,Night,very long lasting,heavy,4.03,38
Esprit d'Amouage Amouage for women,Oriental Floral,Bay Leaf,Red Berries,Apricot,All Season,All Time,moderate,heavy,4.24,19
Fate for Men Amouage for men,Oriental Spicy,Cumin,Immortelle,Incense,Fall/Winter,Night,long lasting,heavy,3.40,442
Fate for Women Amouage for women,Chypre Floral,Incense,Cinnamon,Benzoin,Fall/Winter,All Time,long lasting,heavy,4.06,583
Honour Man Amouage for men,Woody Spicy,Pink Pepper,Pepper,Incense,All Season,Day,long lasting,heavy,3.91,493
Honour Woman Amouage for women,Oriental Floral,Gardenia,Tuberose,Jasmine,Spring/Summer,Day,long lasting,moderate,4.07,741
Imitation For Man Amouage for men,Leather,Orris,Turkish Rose,Violet,All Season,All Time,long lasting,heavy,3.82,100
Imitation for Woman Amouage for women,Chypre Floral,Black Currant,Aldehydes,Incense,Spring/Summer,All Time,long lasting,heavy,3.24,61
Interlude Man Amouage for men,Oriental Woody,Incense,Opoponax,Amber,Fall/Winter,Night,long lasting,heavy,4.19,1828
Interlude Woman Amouage for women,Chypre Floral,Incense,Walnut,Immortelle,Fall/Winter,All Time,long lasting,heavy,3.78,558
Jubilation for Men Amouage for men,Oriental Fougere,Blackberry,Opoponax,Agarwood (Oud),Fall/Winter,Night,long lasting,heavy,4.42,2119
Jubilation for Women Amouage for women,Oriental Floral,Myrrh,Incense,Ylang-Ylang,Fall/Winter,Night,long lasting,heavy,4.07,582
Majan Amouage for women and men,Oriental Floral,Rose,Sandalwood,Musk,Spring/Summer,All Time,very long lasting,moderate,4.71,22
Mawaddah Amouage for women and men,Oriental Floral,Lavender,Tea Rose,Teak Wood,All Season,All Time,moderate,moderate,4.50,9
Memoir Man Amouage for men,Leather,Wormwood,Incense,Mint,Fall/Winter,Night,long lasting,moderate,4.28,1217
Memoir Woman Amouage for women,Chypre,Incense,Clove,Wormwood,Fall/Winter,Night,long lasting,heavy,4.22,835
